backend,day,timestamp_utc,avg_t1_us,avg_t2_us,probe_t1_us,probe_t2_us
ibm_brisbane,1,2025-01-15 08:00:00+00:00,204.5019698745814,74.39900343250153,203.2681792608596,76.5789806707943
ibm_brisbane,1,2025-01-15 08:00:00+00:00,178.44807723310853,59.38112085306327,171.25157325917655,54.274121060214846
ibm_brisbane,1,2025-01-15 08:00:00+00:00,147.94397680113838,65.88265875237245,141.34977634514118,65.42969687277458
ibm_kyoto,1,2025-01-15 08:00:00+00:00,225.32836531174752,80.60820553209933,241.84108011111803,76.09694816294706
ibm_kyoto,1,2025-01-15 08:00:00+00:00,204.80522321937542,84.65941072220262,201.14632589546707,74.99266730126743
ibm_kyoto,1,2025-01-15 08:00:00+00:00,212.60566982618616,89.35971464300808,215.080518144941,95.55940322290907
ibm_osaka,1,2025-01-15 08:00:00+00:00,211.52486636863722,94.07999305819807,206.09492254272908,85.50944018173912
ibm_osaka,1,2025-01-15 08:00:00+00:00,207.41682839630565,72.72615587725966,206.44825906181345,74.34827174773389
ibm_osaka,1,2025-01-15 08:00:00+00:00,175.41340006898776,80.65360768780785,181.0079983479962,71.67709535280078
ibm_brisbane,1,2025-01-15 13:00:00+00:00,125.15747228149588,94.59608322550747,128.37517206014945,110.21354912649495
ibm_brisbane,1,2025-01-15 13:00:00+00:00,119.32130228109823,95.11744187581195,116.81154480876768,99.61698726689055
ibm_brisbane,1,2025-01-15 13:00:00+00:00,153.67593348798613,113.45041944787752,169.6299429230686,105.57592091043135
ibm_kyoto,1,2025-01-15 13:00:00+00:00,162.8245447521338,118.05280810001132,155.9146550349643,123.07245173674342
ibm_kyoto,1,2025-01-15 13:00:00+00:00,186.48479733386225,102.39675053100326,190.6950754840918,116.72415721154351
ibm_kyoto,1,2025-01-15 13:00:00+00:00,188.22156063766525,106.91856214254949,164.50378383685177,100.28254442332734
ibm_osaka,1,2025-01-15 13:00:00+00:00,149.16104538557116,93.1674980434908,147.5325361771632,88.34498507632746
ibm_osaka,1,2025-01-15 13:00:00+00:00,163.257189994608,113.60595053816827,169.52976000198282,106.88553462474871
ibm_osaka,1,2025-01-15 13:00:00+00:00,125.97588032754594,87.75138745981344,127.09590309220472,81.52450125588744
ibm_brisbane,1,2025-01-15 18:00:00+00:00,119.9811873643734,95.98494989149873,114.95710417691971,104.87033352244053
ibm_brisbane,1,2025-01-15 18:00:00+00:00,124.48712120431219,86.97038148933414,121.25119969529874,90.07121641255496
ibm_brisbane,1,2025-01-15 18:00:00+00:00,130.63805134376608,75.52856805297326,133.57237837052043,77.65578313503147
ibm_kyoto,1,2025-01-15 18:00:00+00:00,133.69989114794149,106.9599129183532,137.20452094310642,109.33402680086523
ibm_kyoto,1,2025-01-15 18:00:00+00:00,143.0023927445589,103.23498604753101,142.4707234468736,120.30062307369641
ibm_kyoto,1,2025-01-15 18:00:00+00:00,132.73868656475886,106.1909492518071,133.17368603275986,110.37399654986973
ibm_osaka,1,2025-01-15 18:00:00+00:00,145.04937575953653,116.03950060762924,144.70960925416844,129.48117458487454
ibm_osaka,1,2025-01-15 18:00:00+00:00,128.83080813993894,98.65759788514882,116.72387359808715,99.57282981267505
ibm_osaka,1,2025-01-15 18:00:00+00:00,129.17688357612442,103.34150686089954,137.7628277525173,94.03048082907836
ibm_brisbane,2,2025-01-16 08:00:00+00:00,180.13161851311253,75.45001008843705,173.39153858407926,82.17212367812121
ibm_brisbane,2,2025-01-16 08:00:00+00:00,169.25041592743602,119.84569125091619,170.4757928902737,119.56951804777738
ibm_brisbane,2,2025-01-16 08:00:00+00:00,171.28677234331562,86.29637619766949,187.53362489171278,82.31822180922839
ibm_kyoto,2,2025-01-16 08:00:00+00:00,219.63053813074123,95.5842944058373,222.59287180941087,98.90661157870619
ibm_kyoto,2,2025-01-16 08:00:00+00:00,222.79000654356443,108.9028262583214,223.94082894869683,100.36339173866266
ibm_kyoto,2,2025-01-16 08:00:00+00:00,224.82995819156054,107.11947853967064,219.35757872848004,106.71861462681115
ibm_osaka,2,2025-01-16 08:00:00+00:00,206.06419778320478,95.3882177296703,215.86926809773675,97.07299422456113
ibm_osaka,2,2025-01-16 08:00:00+00:00,214.18646470824848,121.60566412019261,217.9079892439495,118.64646531718887
ibm_osaka,2,2025-01-16 08:00:00+00:00,217.85525325180052,125.21910801367488,224.24861823272832,124.27342107449421
ibm_brisbane,2,2025-01-16 13:00:00+00:00,131.36390614179834,65.62598593706144,135.48697109401232,60.31353765292446
ibm_brisbane,2,2025-01-16 13:00:00+00:00,139.44782354568142,85.33773309729361,136.71897359216172,82.72461019840998
ibm_brisbane,2,2025-01-16 13:00:00+00:00,163.1358622741018,85.76290180145662,171.322481222635,88.15896320974635
ibm_kyoto,2,2025-01-16 13:00:00+00:00,159.667606617544,112.72982841065586,160.51441160700392,113.94272520532422
ibm_kyoto,2,2025-01-16 13:00:00+00:00,178.19912635680595,95.19511886381602,182.30994792289744,117.89753712101555
ibm_kyoto,2,2025-01-16 13:00:00+00:00,152.95119198274847,84.45610139145876,146.20339443275734,87.1154501240123
ibm_osaka,2,2025-01-16 13:00:00+00:00,156.20162041226578,82.66759762791767,145.40598135139624,85.66454106021838
ibm_osaka,2,2025-01-16 13:00:00+00:00,151.44436787609126,94.4760130816823,150.4526688163918,87.03178862422247
ibm_osaka,2,2025-01-16 13:00:00+00:00,155.952988422365,98.94036880460371,148.52483867710401,85.35066659183208
ibm_brisbane,2,2025-01-16 18:00:00+00:00,105.89697327727625,64.22429232383358,106.75848175048655,56.74388247860439
ibm_brisbane,2,2025-01-16 18:00:00+00:00,111.53678808295474,65.63243607662574,108.3415093316019,66.62399633028444
ibm_brisbane,2,2025-01-16 18:00:00+00:00,125.77835054856092,81.34396658990907,124.99313461124251,87.12417635532046
ibm_kyoto,2,2025-01-16 18:00:00+00:00,147.47384643504202,98.24830210059584,157.8900701860133,94.6476828810886
ibm_kyoto,2,2025-01-16 18:00:00+00:00,144.62121196639356,73.37368791101788,152.61885393903253,77.4430768151807
ibm_kyoto,2,2025-01-16 18:00:00+00:00,152.60476721094574,85.29627671505528,149.10824983618548,84.76819824541944
ibm_osaka,2,2025-01-16 18:00:00+00:00,107.72919388808357,77.71884848590976,109.8002058080452,74.96889148577465
ibm_osaka,2,2025-01-16 18:00:00+00:00,122.7175037505142,72.43323188788845,121.44540236742463,66.14978733245694
ibm_osaka,2,2025-01-16 18:00:00+00:00,137.0970989159372,73.23149847542943,134.2736677826073,75.16678283845434
ibm_brisbane,3,2025-01-17 08:00:00+00:00,181.26849705491534,58.504100188082354,176.16755753653908,63.42258060151451
ibm_brisbane,3,2025-01-17 08:00:00+00:00,230.1434721210947,68.8981088215188,218.8846607005158,65.33136448986805
ibm_brisbane,3,2025-01-17 08:00:00+00:00,179.1099299552152,76.15788604320001,181.25050731384994,74.01835793904125
ibm_kyoto,3,2025-01-17 08:00:00+00:00,245.9204473526279,83.80292521475886,264.67057973935005,84.62426691613483
ibm_kyoto,3,2025-01-17 08:00:00+00:00,220.79270632730922,80.3854374715435,234.13931768290345,73.84575040852341
ibm_kyoto,3,2025-01-17 08:00:00+00:00,210.63001665582652,90.81721056700611,197.9378874647764,85.11798566113228
ibm_osaka,3,2025-01-17 08:00:00+00:00,189.29774114518557,90.78346679279969,199.8563480589218,96.15287998290121
ibm_osaka,3,2025-01-17 08:00:00+00:00,192.15749290531264,74.23085854776099,181.7158425226445,68.7895659194437
ibm_osaka,3,2025-01-17 08:00:00+00:00,180.8939119121426,76.82470986338141,180.37415723096618,78.44090132144478
ibm_brisbane,3,2025-01-17 13:00:00+00:00,144.5588549860665,97.26459177885611,143.96777060047899,107.61679357959544
ibm_brisbane,3,2025-01-17 13:00:00+00:00,171.1662585132978,80.41210582188344,186.61536470107077,81.52708988617789
ibm_brisbane,3,2025-01-17 13:00:00+00:00,142.10848749459745,63.84546480916048,141.19549995910293,68.85859216429195
ibm_kyoto,3,2025-01-17 13:00:00+00:00,166.23902320193838,99.34048773569097,163.1147206147854,105.3902731359498
ibm_kyoto,3,2025-01-17 13:00:00+00:00,167.77035541936473,112.40242643218951,168.3886462428233,113.1344748230996
ibm_kyoto,3,2025-01-17 13:00:00+00:00,190.73425953176633,100.62310268455603,179.8462777900412,100.52191564578285
ibm_osaka,3,2025-01-17 13:00:00+00:00,135.49177158091953,92.29412871479207,137.1663262020869,89.85638983439765
ibm_osaka,3,2025-01-17 13:00:00+00:00,144.64211498767034,108.32649351804002,141.11222690786536,118.23383126383858
ibm_osaka,3,2025-01-17 13:00:00+00:00,162.41688385225385,108.36174273816486,162.9111966010631,98.68063362352548
ibm_brisbane,3,2025-01-17 18:00:00+00:00,123.25611223920687,96.78973807816813,132.77099812586053,96.23554765202913
ibm_brisbane,3,2025-01-17 18:00:00+00:00,122.61888388247861,84.41735488690642,129.6307144452272,81.2321025840187
ibm_brisbane,3,2025-01-17 18:00:00+00:00,112.85672746929701,90.28538197543762,115.39649256048219,86.19428069162377
ibm_kyoto,3,2025-01-17 18:00:00+00:00,145.5691336619641,107.15450394200765,142.35235756493913,112.65366918376222
ibm_kyoto,3,2025-01-17 18:00:00+00:00,159.45803570302883,118.01819186611755,157.98412027299162,140.06711421803254
ibm_kyoto,3,2025-01-17 18:00:00+00:00,155.54233992983538,124.43387194386831,161.33710501652143,104.29684037272769
ibm_osaka,3,2025-01-17 18:00:00+00:00,142.87993031350214,96.85034819365394,147.792108078928,95.74718354657922
ibm_osaka,3,2025-01-17 18:00:00+00:00,117.13240754558772,93.70592603647019,117.85536292632983,100.77445390919215
ibm_osaka,3,2025-01-17 18:00:00+00:00,147.81864831497262,94.4781055554746,145.35670593741486,82.54874281791794
ibm_brisbane,4,2025-01-18 08:00:00+00:00,171.0702654861914,120.64818328279276,171.23659419373834,141.4077538888984
ibm_brisbane,4,2025-01-18 08:00:00+00:00,166.93339891420186,108.64760389209363,168.38692540384403,99.02436481187927
ibm_brisbane,4,2025-01-18 08:00:00+00:00,221.70137415107578,93.59214867763642,225.36867350848397,97.59700183331556
ibm_kyoto,4,2025-01-18 08:00:00+00:00,243.8656959274259,92.2317864775547,256.1375459310412,91.52014405243813
ibm_kyoto,4,2025-01-18 08:00:00+00:00,210.06389458456343,118.3734091322685,217.0128034532736,123.19571548941609
ibm_kyoto,4,2025-01-18 08:00:00+00:00,226.56691560781596,105.39255379645915,214.16700775341533,117.30004093178786
ibm_osaka,4,2025-01-18 08:00:00+00:00,186.36017337691706,98.87328291134419,181.03585521164985,94.7628874321569
ibm_osaka,4,2025-01-18 08:00:00+00:00,209.40027456159038,88.4532199902313,204.9338362793952,92.25537234054526
ibm_osaka,4,2025-01-18 08:00:00+00:00,173.2210088396897,81.34591859741431,167.71862578181265,72.70446341529967
ibm_brisbane,4,2025-01-18 13:00:00+00:00,158.71345945429772,76.58808749997438,158.03600231454854,72.13279371430521
ibm_brisbane,4,2025-01-18 13:00:00+00:00,151.35225088875782,76.03553857860997,153.8853283815663,90.9702637609414
ibm_brisbane,4,2025-01-18 13:00:00+00:00,132.8815926109047,86.95937775588537,138.80802653085823,86.80377893839876
ibm_kyoto,4,2025-01-18 13:00:00+00:00,160.60962154831583,91.96093132059379,150.8834600995778,91.05365740579484
ibm_kyoto,4,2025-01-18 13:00:00+00:00,157.99022041826154,87.08859802947055,162.75670709160434,99.46635980534239
ibm_kyoto,4,2025-01-18 13:00:00+00:00,188.83876599079983,82.94175278544559,198.8785224742251,71.44575265650776
ibm_osaka,4,2025-01-18 13:00:00+00:00,167.82442877415477,80.48027617186072,179.25936409877022,78.00048401632101
ibm_osaka,4,2025-01-18 13:00:00+00:00,147.05229749112874,75.7028368497778,140.7362955546178,79.6897061668651
