seed,regime,phase,candidate,draw,placement,action_loss,service_violation,quality_loss,delay_s,deadline_s
120,qpu_opportunity,1,0,0,classical,1.0,1,1.2003607738909847,0.005496669909916818,0.35
120,qpu_opportunity,1,0,1,classical,1.0,1,0.30339978702985887,0.005481875268742442,0.35
120,qpu_opportunity,1,0,2,classical,1.0,1,0.49490229894370485,0.00556687475182116,0.35
120,qpu_opportunity,1,0,3,classical,1.0,1,0.2969135894745723,0.005432289908640087,0.35
120,qpu_opportunity,1,0,4,classical,1.0,1,0.749725404773364,0.005373960011638701,0.35
120,qpu_opportunity,1,0,5,classical,1.0,1,0.3039025840033074,0.005120834684930742,0.35
120,qpu_opportunity,1,0,6,classical,0.07667285363132327,0,0.07667285363132327,0.005071875057183206,0.35
120,qpu_opportunity,1,0,7,classical,1.0,1,0.5189094723513364,0.005433959886431694,0.35
120,qpu_opportunity,1,0,8,classical,0.1781676152188882,0,0.1781676152188882,0.004960204823873937,0.35
120,qpu_opportunity,1,0,9,classical,0.022938913356155895,0,0.022938913356155895,0.005303960060700774,0.35
120,qpu_opportunity,1,1,0,classical,1.0,1,0.5672535933843681,0.005406250129453838,0.35
120,qpu_opportunity,1,1,1,classical,0.022938913356155895,0,0.022938913356155895,0.005404374678619206,0.35
120,qpu_opportunity,1,1,2,classical,0.022938913356155895,0,0.022938913356155895,0.005350415012799203,0.35
120,qpu_opportunity,1,1,3,classical,0.0,0,0.0,0.005215000128373504,0.35
120,qpu_opportunity,1,1,4,classical,0.022938913356155895,0,0.022938913356155895,0.005690624820999801,0.35
120,qpu_opportunity,1,1,5,classical,1.0,1,0.48719378352810183,0.005413749604485929,0.35
120,qpu_opportunity,1,1,6,classical,1.0,1,0.2969135894745723,0.005346459802240133,0.35
120,qpu_opportunity,1,1,7,classical,0.00770851541560303,0,0.00770851541560303,0.005214374978095293,0.35
120,qpu_opportunity,1,1,8,classical,0.030647428771758925,0,0.030647428771758925,0.005341669893823564,0.35
120,qpu_opportunity,1,1,9,classical,0.07667285363132327,0,0.07667285363132327,0.0049802049761638045,0.35
120,qpu_opportunity,1,2,0,qpu_A,0.00770851541560303,0,0.00770851541560303,0.2074,0.35
120,qpu_opportunity,1,2,1,qpu_A,0.0,0,0.0,0.2074,0.35
120,qpu_opportunity,1,2,2,qpu_A,0.06846506302782733,0,0.06846506302782733,0.2074,0.35
120,qpu_opportunity,1,2,3,qpu_A,1.0,1,0.00770851541560303,1.3824,0.35
120,qpu_opportunity,1,2,4,qpu_A,1.0,1,0.0,1.3824,0.35
120,qpu_opportunity,1,2,5,qpu_A,0.0,0,0.0,0.2074,0.35
120,qpu_opportunity,1,2,6,qpu_A,0.0,0,0.0,0.2074,0.35
120,qpu_opportunity,1,2,7,qpu_A,0.00770851541560303,0,0.00770851541560303,0.2074,0.35
120,qpu_opportunity,1,2,8,qpu_A,0.0,0,0.0,0.2074,0.35
120,qpu_opportunity,1,2,9,qpu_A,0.00770851541560303,0,0.00770851541560303,0.2074,0.35
120,qpu_opportunity,1,3,0,qpu_A,1.0,1,0.2892050740589693,0.1418,0.35
120,qpu_opportunity,1,3,1,qpu_A,1.0,1,0.09964265908238187,0.1418,0.35
120,qpu_opportunity,1,3,2,qpu_A,0.06846506302782733,0,0.06846506302782733,0.1418,0.35
120,qpu_opportunity,1,3,3,qpu_A,1.0,1,0.0,1.3168,0.35
120,qpu_opportunity,1,3,4,qpu_A,1.0,1,0.00770851541560303,1.3168,0.35
120,qpu_opportunity,1,3,5,qpu_A,0.1781676152188882,0,0.1781676152188882,0.1418,0.35
120,qpu_opportunity,1,3,6,qpu_A,0.07667285363132327,0,0.07667285363132327,0.1418,0.35
120,qpu_opportunity,1,3,7,qpu_A,0.00770851541560303,0,0.00770851541560303,0.1418,0.35
120,qpu_opportunity,1,3,8,qpu_A,0.030647428771758925,0,0.030647428771758925,0.1418,0.35
120,qpu_opportunity,1,3,9,qpu_A,0.022938913356155895,0,0.022938913356155895,0.1418,0.35
120,qpu_opportunity,1,4,0,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,4,1,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,4,2,qpu_B,0.00770851541560303,0,0.00770851541560303,0.2066,0.35
120,qpu_opportunity,1,4,3,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,4,4,qpu_B,0.06846506302782733,0,0.06846506302782733,0.2066,0.35
120,qpu_opportunity,1,4,5,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,4,6,qpu_B,0.022938913356155895,0,0.022938913356155895,0.2066,0.35
120,qpu_opportunity,1,4,7,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,4,8,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,4,9,qpu_B,0.0,0,0.0,0.2066,0.35
120,qpu_opportunity,1,5,0,qpu_B,0.2011065285750439,0,0.2011065285750439,0.2942,0.35
120,qpu_opportunity,1,5,1,qpu_B,0.06846506302782733,0,0.06846506302782733,0.2942,0.35
120,qpu_opportunity,1,5,2,qpu_B,1.0,1,1.9162003823814453,0.2942,0.35
120,qpu_opportunity,1,5,3,qpu_B,1.0,1,0.6130099544950551,0.2942,0.35
120,qpu_opportunity,1,5,4,qpu_B,0.022938913356155895,0,0.022938913356155895,0.2942,0.35
120,qpu_opportunity,1,5,5,qpu_B,0.1781676152188882,0,0.1781676152188882,0.2942,0.35
120,qpu_opportunity,1,5,6,qpu_B,0.030647428771758925,0,0.030647428771758925,0.2942,0.35
120,qpu_opportunity,1,5,7,qpu_B,1.0,1,0.09964265908238187,0.2942,0.35
120,qpu_opportunity,1,5,8,qpu_B,1.0,1,0.41025179277774715,0.2942,0.35
120,qpu_opportunity,1,5,9,qpu_B,1.0,1,0.6130099544950551,0.2942,0.35
