experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,search_evaluations,unique_candidates,fidelity_counts,search_wall_s,peak_rss_mb,cfg_compile_level,cfg_mitigation,cfg_opt_iters,cfg_p,cfg_placement,cfg_shots,cfg_warm_start,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,utility_cvar10,utility_min,service_violation,cfg_layers,cfg_lr,cfg_n_qubits,cfg_reupload,cfg_train_iters
clearaccept_confirmatory,qaoa,100,tpe,30.0,42.0,22.854529633804958,42,10,"{""2"": 42}",4.933595541981049,181.34375,0,0,20.0,2.0,remote_sim,2048,1.0,0.0014354208131869234,0.06858919859322399,0.0,0.05,1.262288,5.049152000000001e-08,0.07616545116922399,0.0,-0.26378442335196534,-0.01822924331527158,-2.5309640604227965,-5.04682880245298,0.05,,,,,
clearaccept_confirmatory,qaoa,100,successive_halving,30.0,44.639999999999986,12.860362874664496,132,69,"{""0"": 72, ""1"": 24, ""2"": 36}",0.0774950000923127,181.359375,1,1,80.0,1.0,local_sim,2048,1.0,0.0007177104065934617,0.148304,0.0,0.025,1.186432,0.0,0.155422592,0.0,-0.1431663961982666,-0.02365897201420687,-1.2802748416043115,-5.047700142040652,0.025,,,,,
clearaccept_confirmatory,qaoa,101,tpe,30.0,42.0,307.460179331109,42,10,"{""2"": 42}",0.22374337504152209,181.578125,0,0,20.0,2.0,remote_sim,2048,1.0,0.0,0.06616295392701646,0.0,0.0,1.262288,5.049152000000001e-08,0.07373920650301646,0.0,-0.011786238229352526,-0.014804291935559192,-0.018479455376758012,-0.025146933398643125,0.0,,,,,
clearaccept_confirmatory,qaoa,101,successive_halving,30.0,44.639999999999986,4.62227143839952,132,71,"{""0"": 72, ""1"": 24, ""2"": 36}",0.07394358399324119,181.59375,2,1,80.0,3.0,classical,512,1.0,0.041964086260090995,0.005149192380486056,0.0,0.0,0.04119353904388845,0.0,0.005396353614749386,0.0,-0.04254371280874428,-0.18321584748721853,-0.2769759800456443,-0.42108044871349587,0.0,,,,,
clearaccept_confirmatory,qaoa,102,tpe,30.0,42.0,256.3312181525833,42,10,"{""2"": 42}",0.48591054102871567,181.59375,1,1,80.0,2.0,remote_sim,2048,1.0,0.0,0.07659460480990403,0.0,0.0,1.262288,5.049152000000001e-08,0.08417085738590405,0.0,-0.012640190552236835,-0.015694677232960842,-0.017444171739375597,-0.01865074757651582,0.0,,,,,
clearaccept_confirmatory,qaoa,102,successive_halving,30.0,44.639999999999986,5.868146041420587,132,69,"{""0"": 72, ""1"": 24, ""2"": 36}",0.08496725000441074,181.59375,1,0,20.0,1.0,local_sim,2048,1.0,0.0,0.148304,0.0,0.0,1.186432,0.0,0.155422592,0.0,-0.016813020147148035,-0.0236147048836679,-0.024146965359862837,-0.0246448737467891,0.0,,,,,
clearaccept_confirmatory,qaoa,103,tpe,30.0,42.0,323.6363070454466,42,10,"{""2"": 42}",0.18970816698856652,181.703125,2,0,20.0,1.0,local_sim,2048,1.0,0.0,0.298304,0.05,0.0,2.386432,0.0,0.31262259200000003,0.0,-0.13376764474184338,-0.04603248936644481,-1.045038149787084,-2.0454161509904103,0.05,,,,,
clearaccept_confirmatory,qaoa,103,successive_halving,30.0,44.639999999999986,3.7941644074374175,132,68,"{""0"": 72, ""1"": 24, ""2"": 36}",0.07074654195457697,181.703125,1,1,40.0,1.0,classical,2048,0.0,0.04434033708672068,0.005089401514851488,0.0,0.0,0.040715212118811905,0.0,0.005333692787564359,0.0,-0.04491503977865764,-0.08574982175221169,-0.28760296906304555,-0.4054352027999982,0.0,,,,,
clearaccept_confirmatory,qaoa,104,tpe,30.0,42.0,101.70561446300059,42,10,"{""2"": 42}",0.21395908400882035,181.96875,1,0,40.0,3.0,classical,2048,1.0,0.15790907738553153,0.00505022905417718,0.0,0.0,0.04040183243341744,0.0,0.0052926400487776845,0.0,-0.15847908105690994,-0.5040532696971542,-0.5532789945532274,-0.6350806169442058,0.0,,,,,
clearaccept_confirmatory,qaoa,104,successive_halving,30.0,44.639999999999986,16.284389925642426,132,70,"{""0"": 72, ""1"": 24, ""2"": 36}",0.07330737495794892,181.96875,0,0,20.0,1.0,local_sim,512,1.0,0.043896909198337844,0.108304,0.0,0.0,0.866432,0.0,0.11350259199999999,0.0,-0.05608531408127224,-0.2207008538253677,-0.2462439849573098,-0.31836822667768605,0.0,,,,,
